中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,53 ms,396 Mbps,50688 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,23 ms,928 Mbps,118784 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,85 ms,389 Mbps,49868 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,107 ms,340 Mbps,43622 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,40 ms,1464 Mbps,187392 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,37 ms,751 Mbps,96153 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,56 ms,684 Mbps,87654 kB/s
132.145.152.194,443,132.145.152.194,US,Ashburn,中转,71 ms,97 Mbps,12492 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,16 ms,2048 Mbps,262144 kB/s
129.146.7.98,443,2a09:bac5:60e9:183c::26a:47,US,Los Angeles,隧道,18 ms,55 Mbps,7094 kB/s
132.226.31.178,443,2a09:bac1:76c0:e18::1bd:110,US,Los Angeles,隧道,18 ms,55 Mbps,7088 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,45 ms,55 Mbps,7080 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,45 ms,175 Mbps,22425 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,33 ms,672 Mbps,86118 kB/s
152.70.117.174,443,152.70.117.174,US,San Jose,中转,14 ms,872 Mbps,111616 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,64 ms,51 Mbps,6653 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,35 ms,53 Mbps,6787 kB/s
138.2.225.254,443,138.2.225.254,US,San Jose,中转,268 ms,1192 Mbps,152576 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,60 ms,345 Mbps,44236 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,114 ms,406 Mbps,52019 kB/s
192.9.158.188,443,2a09:bac1:76c0:1cf0::1d2:65,US,San Jose,隧道,120 ms,70 Mbps,8969 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,76 ms,8 Mbps,1058 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,130 ms,143 Mbps,18329 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,151 ms,44 Mbps,5718 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,162 ms,113 Mbps,14540 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,105 ms,192 Mbps,24678 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,150 ms,43 Mbps,5614 kB/s
47.90.141.204,443,91.149.239.122,US,Los Angeles,隧道,69 ms,27 Mbps,3568 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,159 ms,19 Mbps,2435 kB/s
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,130 ms,139 Mbps,17817 kB/s
158.180.65.145,443,2603:c024:e:6666::6666,KR,Seoul,隧道,130 ms,46 Mbps,5966 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,63 ms,41 Mbps,5352 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,170 ms,3 Mbps,430 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,73 ms,49 Mbps,6385 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,142 ms,142 Mbps,18227 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,158 ms,57 Mbps,7407 kB/s
130.61.23.77,443,130.61.23.77,80 Mbps,10342 kB/s
130.61.23.77,,,隧道,0 ms,null Mbps,null kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,64 ms,1 Mbps,173 kB/s
140.238.33.161,443,2603:c021:8002:900:4858:eede:fd8a:dd52,JP,Tokyo,隧道,162 ms,100 Mbps,12800 kB/s
152.67.222.167,443,152.67.222.167,KR,Seoul,中转,130 ms,20 Mbps,2632 kB/s
130.162.144.191,443,2a09:bac5:4757:1a14::299:17,KR,Seoul,隧道,132 ms,39 Mbps,5113 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,144 ms,119 Mbps,15257 kB/s
193.123.61.249,443,2a0b:21c0:1007:1c9:0:f498:2adf:4bf2,DE,Frankfurt,隧道,158 ms,86 Mbps,11059 kB/s
8.220.213.202,443,8.220.213.202,KR,Seoul,中转,132 ms,10 Mbps,1399 kB/s
150.230.221.148,443,150.230.221.148,JP,Tokyo,中转,202 ms,99 Mbps,12697 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,88 ms,38 Mbps,4953 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,164 ms,124 Mbps,15974 kB/s
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,171 ms,113 Mbps,14540 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,109 ms,0 Mbps,11 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,154 ms,44 Mbps,5643 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,159 ms,115 Mbps,14745 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,178 ms,0 Mbps,54 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,151 ms,107 Mbps,13721 kB/s
168.138.209.31,443,2a09:bac5:442f:dc::16:1c1,JP,Tokyo,隧道,178 ms,9 Mbps,1223 kB/s
138.2.152.75,443,2a0b:21c0:1007:1cb:0:296:6b4d:f242,DE,Frankfurt,隧道,196 ms,116 Mbps,14950 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,206 ms,44 Mbps,5703 kB/s
143.47.242.142,443,2606:f240:f00:eaf1:0:7371:3452:3d5c,US,Frankfurt,隧道,160 ms,74 Mbps,9499 kB/s
152.69.171.12,443,152.69.171.12,AU,Sydney,中转,177 ms,44 Mbps,5681 kB/s
152.70.232.151,443,152.70.232.151,KR,Seoul,中转,133 ms,33 Mbps,4237 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,150 ms,120 Mbps,15360 kB/s
146.56.43.53,443,146.56.43.53,KR,Seoul,中转,134 ms,136 Mbps,17510 kB/s
146.56.179.91,443,146.56.179.91,KR,Seoul,中转,130 ms,140 Mbps,18022 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:105,KR,Seoul,隧道,350 ms,139 Mbps,17817 kB/s
