中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,28 ms,992 Mbps,126976 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,70 ms,311 Mbps,39833 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,36 ms,968 Mbps,123904 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,2 ms,1800 Mbps,230400 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,5 ms,696 Mbps,89088 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,151 ms,156 Mbps,20070 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,21 ms,1016 Mbps,130048 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,126 ms,192 Mbps,24678 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,5 ms,2096 Mbps,268288 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,33 ms,348 Mbps,44544 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,67 ms,434 Mbps,55603 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,28 ms,63 Mbps,8164 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,39 ms,81 Mbps,10444 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,66 ms,407 Mbps,52121 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,189 ms,129 Mbps,16588 kB/s
129.146.168.102,443,104.28.205.111,US,Los Angeles,隧道,19 ms,70 Mbps,8964 kB/s
129.80.222.224,443,129.80.222.224,US,Ashburn,中转,73 ms,252 Mbps,32256 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,176 ms,3 Mbps,402 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,45 ms,680 Mbps,87040 kB/s
132.145.152.194,443,132.145.152.194,US,Ashburn,中转,106 ms,147 Mbps,18841 kB/s
47.88.24.237,443,47.88.24.237,US,San Jose,中转,17 ms,7 Mbps,991 kB/s
