中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,278 Mbps,35635 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,26 ms,741 Mbps,94924 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,51 ms,408 Mbps,52224 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,80 Mbps,10342 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,74 ms,540 Mbps,69222 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,22 ms,60 Mbps,7741 kB/s
129.146.7.98,443,2a09:bac1:7680:e18::26b:4,US,Los Angeles,隧道,70 ms,69 Mbps,8860 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,103 ms,181 Mbps,23244 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,23 ms,472 Mbps,60518 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,54 ms,446 Mbps,57139 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,62 ms,538 Mbps,68915 kB/s
35.197.23.75,443,35.212.185.117,US,Seattle,隧道,83 ms,507 Mbps,64921 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,62 ms,512 Mbps,65536 kB/s
35.230.79.26,443,35.212.185.117,US,Seattle,隧道,54 ms,497 Mbps,63692 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,68 ms,341 Mbps,43724 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,120 ms,236 Mbps,30310 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,104 ms,43 Mbps,5573 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,22 ms,73 Mbps,9378 kB/s
47.90.141.204,443,91.149.239.122,US,Los Angeles,隧道,35 ms,38 Mbps,4989 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,118 ms,200 Mbps,25702 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,25 ms,848 Mbps,108544 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,54 ms,413 Mbps,52940 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,113 ms,204 Mbps,26214 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,124 ms,42 Mbps,5476 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,125 ms,174 Mbps,22323 kB/s
192.9.146.103,443,192.9.146.103,US,Los Angeles,中转,56 ms,423 Mbps,54169 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,111 ms,194 Mbps,24883 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,118 ms,45 Mbps,5785 kB/s
141.147.60.82,443,2a0b:21c0:1007:1cb:0:2829:38f7:2e4e,DE,Frankfurt,隧道,118 ms,213 Mbps,27340 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,91 ms,228 Mbps,29184 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,119 ms,47 Mbps,6085 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,105 ms,47 Mbps,6099 kB/s
158.101.202.140,443,2a0b:21c0:100a:1b5:0:eeef:f1e0:9122,DE,Frankfurt,隧道,108 ms,109 Mbps,14028 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,134 ms,30 Mbps,3848 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,60 ms,47 Mbps,6066 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,112 ms,40 Mbps,5159 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,150 ms,139 Mbps,17817 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,129 ms,103 Mbps,13209 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,117 ms,1 Mbps,197 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,192 ms,90 Mbps,11571 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,124 ms,39 Mbps,5044 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,231 ms,2 Mbps,349 kB/s
168.138.149.17,443,168.138.149.17,BR,S
