中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
138.2.144.1,443,2606:f240:f00:46c4:0:7292:7b3a:4b14,US,Frankfurt,隧道,95 ms,277 Mbps,35532 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,51 ms,75 Mbps,9626 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,20 ms,59 Mbps,7592 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,65 ms,364 Mbps,46592 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,39 ms,628 Mbps,80486 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,28 ms,486 Mbps,62259 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,95 ms,209 Mbps,26828 kB/s
130.61.23.77,443,130.61.23.77,DE,219 Mbps,28057 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,144 ms,296 Mbps,37888 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,83 ms,249 Mbps,31948 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,5 ms,89 Mbps,11468 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,70 ms,423 Mbps,54169 kB/s
141.144.199.222,443,2a0b:21c0:100a:1b1:0:9656:b696:7119,DE,Frankfurt,隧道,97 ms,222 Mbps,28467 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,86 ms,190 Mbps,24371 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,104 ms,34 Mbps,4449 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,29 ms,484 Mbps,61952 kB/s
35.230.79.26,443,35.212.251.233,US,Seattle,隧道,92 ms,372 Mbps,47616 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,81 ms,249 Mbps,31948 kB/s
35.197.23.75,443,35.212.251.233,US,Seattle,隧道,80 ms,370 Mbps,47411 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,104 ms,200 Mbps,25702 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,69 ms,424 Mbps,54374 kB/s
158.178.149.159,443,2606:f240:f00:eaf1:0:a376:d091:a423,US,Frankfurt,隧道,103 ms,218 Mbps,27955 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,15 ms,59 Mbps,7555 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,89 ms,248 Mbps,31846 kB/s
143.47.189.109,443,2a0b:21c0:1007:1ca:0:dfb0:e5cc:7bc1,DE,Frankfurt,隧道,109 ms,230 Mbps,29491 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,95 ms,36 Mbps,4697 kB/s
194.36.24.34,443,2a0f:5707:fa21::1,US,San Jose,隧道,73 ms,402 Mbps,51507 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,91 ms,225 Mbps,28876 kB/s
152.70.57.208,443,2606:f240:f00:6acf:0:a81f:2a30:1e21,US,Frankfurt,隧道,89 ms,216 Mbps,27750 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,178 ms,112 Mbps,14438 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,91 ms,43 Mbps,5537 kB/s
168.138.149.17,443,168.138.149.17,BR,S
