中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.254.51,443,198.23.254.51,US,San Jose,中转,15 ms,671 Mbps,85913 kB/s
192.9.138.241,443,192.9.138.241,1704 Mbps,218112 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,67 ms,434 Mbps,55603 kB/s
35.230.79.26,443,35.212.231.200,US,Seattle,隧道,34 ms,976 Mbps,124928 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,,colo.txt:Los Angeles,隧道,0 ms,61 Mbps,7852 kB/s
35.197.23.75,443,35.212.231.200,US,Seattle,隧道,34 ms,904 Mbps,115712 kB/s
132.226.31.178,443,2a09:bac1:76c0:e18::26b:47,US,Los Angeles,隧道,18 ms,24 Mbps,3130 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,2 ms,2120 Mbps,271360 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,37 ms,672 Mbps,86118 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,114 ms,212 Mbps,27238 kB/s
34.82.76.253,443,104.198.8.26,US,Seattle,隧道,24 ms,783 Mbps,100249 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,30 ms,693 Mbps,88780 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,63 ms,379 Mbps,48537 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,10 ms,26 Mbps,3390 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,104 ms,344 Mbps,44032 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,143 ms,48 Mbps,6160 kB/s
129.146.46.164,443,129.146.46.164,401 Mbps,51404 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,14 ms,86 Mbps,11059 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,155 ms,128 Mbps,16384 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,174 ms,41 Mbps,5374 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,156 ms,173 Mbps,22220 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,197 ms,35 Mbps,4485 kB/s
129.154.50.220,443,129.154.50.220,KR,128 Mbps,16384 kB/s
47.253.129.190,443,47.253.129.190,US,Ashburn,中转,116 ms,4 Mbps,603 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,12 ms,379 Mbps,48537 kB/s
146.56.161.131,443,107.151.176.166,US,Los Angeles,隧道,188 ms,104 Mbps,13312 kB/s
47.91.18.127,443,47.91.18.127,JP,Tokyo,中转,110 ms,180 Mbps,23040 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,158 ms,30 Mbps,3858 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,162 ms,120 Mbps,15462 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,63 ms,45 Mbps,5876 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,175 ms,148 Mbps,18944 kB/s
146.56.167.154,443,2607:a400:a:6b:0:e5ef:6b69:89bc,US,Los Angeles,隧道,147 ms,126 Mbps,16179 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,139 ms,145 Mbps,18636 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,182 ms,39 Mbps,5075 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,83 ms,49 Mbps,6278 kB/s
130.162.47.22,443,2a0b:21c0:100a:1b1:0:64b9:1cd8:3936,DE,Frankfurt,隧道,159 ms,76 Mbps,9776 kB/s
130.162.144.191,443,2a09:bac5:4750:155::22:136,KR,Seoul,隧道,164 ms,41 Mbps,5278 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,140 ms,143 Mbps,18329 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,163 ms,113 Mbps,14540 kB/s
64.110.78.44,443,2607:a400:a:16b:0:6be1:a3e5:e1f9,US,Los Angeles,隧道,186 ms,100 Mbps,12902 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,154 ms,107 Mbps,13721 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,166 ms,107 Mbps,13721 kB/s
8.222.199.55,443,8.222.213.200,SG,Singapore,隧道,189 ms,77 Mbps,9874 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,172 ms,2 Mbps,376 kB/s
141.147.154.214,443,141.147.154.214,JP,Osaka,中转,212 ms,39 Mbps,5103 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,168 ms,33 Mbps,4347 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,141 ms,158 Mbps,20275 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,234 ms,32 Mbps,4159 kB/s
8.219.116.224,443,47.236.51.143,SG,Singapore,隧道,213 ms,48 Mbps,6249 kB/s
144.22.252.124,443,144.22.252.124,BR,S
