中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
23.94.43.51,443,23.94.43.51,US,Seattle,中转,28 ms,639 Mbps,81817 kB/s
146.56.129.186,443,146.56.129.186,KR,Seoul,中转,154 ms,129 Mbps,16588 kB/s
34.82.76.253,443,34.83.80.46,US,Seattle,隧道,39 ms,1024 Mbps,131072 kB/s
35.230.79.26,443,35.212.191.179,US,Seattle,隧道,26 ms,968 Mbps,123904 kB/s
192.18.134.231,443,192.18.134.231,US,San Jose,中转,9 ms,387 Mbps,49561 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,2 ms,1200 Mbps,153600 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,180 ms,162 Mbps,20787 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,53 ms,391 Mbps,50073 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,164 ms,44 Mbps,5742 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,200 ms,44 Mbps,5675 kB/s
129.146.46.164,443,129.146.46.164,US,328 Mbps,41984 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,54 ms,888 Mbps,113664 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,111 ms,152 Mbps,19558 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,147 ms,202 Mbps,25907 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,293 ms,132 Mbps,16896 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,174 ms,45 Mbps,5771 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,184 ms,162 Mbps,20787 kB/s
35.197.23.75,443,35.212.191.179,US,Seattle,隧道,25 ms,984 Mbps,125952 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,170 ms,45 Mbps,5878 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,175 ms,70 Mbps,9071 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,159 ms,42 Mbps,5419 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,220 ms,116 Mbps,14950 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,195 ms,37 Mbps,4859 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,17 ms,816 Mbps,104448 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,9 ms,197 Mbps,25292 kB/s
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,164 ms,82 Mbps,10547 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,158 ms,116 Mbps,14950 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,175 ms,120 Mbps,15462 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,62 ms,62 Mbps,8008 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,29 ms,444 Mbps,56832 kB/s
8.212.48.236,443,47.76.21.97,HK,Hong Kong,隧道,173 ms,14 Mbps,1822 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,87 ms,367 Mbps,47001 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,162 ms,0 Mbps,112 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,5 ms,51 Mbps,6584 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,290 ms,9 Mbps,1215 kB/s
193.122.62.253,443,2606:f240:f00:dd8d:0:dac6:d34a:153,US,Frankfurt,隧道,261 ms,111 Mbps,14233 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,147 ms,44 Mbps,5730 kB/s
192.9.146.103,443,192.9.146.103,US,San Jose,中转,17 ms,1392 Mbps,178176 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,170 ms,43 Mbps,5557 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,84 ms,256 Mbps,32870 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,229 ms,107 Mbps,13721 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,108 ms,227 Mbps,29081 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,67 ms,286 Mbps,36659 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:105,KR,Seoul,隧道,149 ms,124 Mbps,15974 kB/s
47.90.141.204,443,91.149.239.70,US,Los Angeles,隧道,98 ms,32 Mbps,4194 kB/s
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,169 ms,0 Mbps,89 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,170 ms,2 Mbps,371 kB/s
168.138.149.17,443,168.138.149.17,BR,S
