中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Chicago,中转,28 ms,443 Mbps,56729 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,36 ms,600 Mbps,76902 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,100 ms,241 Mbps,30924 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,67 ms,356 Mbps,45568 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,9 ms,67 Mbps,8589 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,16 ms,808 Mbps,103424 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,6 ms,56 Mbps,7178 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:San Diego,中转,0 ms,190 Mbps,24371 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,109 ms,231 Mbps,29593 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,102 ms,325 Mbps,41676 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,93 ms,48 Mbps,6223 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,75 ms,279 Mbps,35737 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,80 ms,272 Mbps,34918 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,76 ms,326 Mbps,41779 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,111 ms,240 Mbps,30822 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,107 ms,45 Mbps,5811 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,103 ms,49 Mbps,6324 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,67 ms,340 Mbps,43622 kB/s
193.123.61.156,443,2a0b:21c0:100a:1b7:0:4587:2b05:2302,DE,Frankfurt,隧道,102 ms,220 Mbps,28160 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,84 ms,277 Mbps,35532 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,113 ms,207 Mbps,26521 kB/s
152.70.60.159,443,2a0b:21c0:1007:c9:0:1612:db2e:689,DE,Frankfurt,隧道,95 ms,235 Mbps,30105 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,80 ms,380 Mbps,48640 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,102 ms,39 Mbps,5111 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,131 ms,210 Mbps,26931 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,87 ms,32 Mbps,4114 kB/s
143.47.178.5,443,2a0b:21c0:100a:1b3:0:c20:8052:2873,DE,Frankfurt,隧道,108 ms,252 Mbps,32358 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,112 ms,50 Mbps,6407 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,170 ms,127 Mbps,16281 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,97 ms,49 Mbps,6352 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,127 ms,164 Mbps,20992 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,119 ms,260 Mbps,33280 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,90 ms,48 Mbps,6228 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,197 ms,111 Mbps,14233 kB/s
143.47.183.201,443,2606:f240:f00:5a42:0:223d:d4a1:aeee,US,Frankfurt,隧道,123 ms,267 Mbps,34201 kB/s
47.90.141.204,443,91.149.239.206,US,Los Angeles,隧道,5 ms,2 Mbps,300 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,105 ms,43 Mbps,5629 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,195 ms,99 Mbps,12697 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:107,KR,Seoul,隧道,222 ms,72 Mbps,9226 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,238 ms,68 Mbps,8792 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,247 ms,2 Mbps,287 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,240 ms,33 Mbps,4238 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,231 ms,33 Mbps,4275 kB/s
158.180.74.63,443,2602:ffe4:407:20da:0:6614:c1fb:c320,SG,Singapore,隧道,261 ms,37 Mbps,4770 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,210 ms,67 Mbps,8609 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,253 ms,22 Mbps,2875 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,211 ms,36 Mbps,4717 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,221 ms,29 Mbps,3783 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,Seattle,隧道,237 ms,55 Mbps,7055 kB/s
130.162.144.191,443,2a09:bac1:3f00::20b:7c,KR,Seoul,隧道,224 ms,38 Mbps,4896 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,244 ms,89 Mbps,11468 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,222 ms,84 Mbps,10752 kB/s
193.123.80.245,443,193.123.80.245,AE,Amsterdam,中转,206 ms,9 Mbps,1204 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,300 ms,70 Mbps,9083 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,233 ms,34 Mbps,4413 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,336 ms,30 Mbps,3891 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,259 ms,0 Mbps,24 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,246 ms,3 Mbps,496 kB/s
